trial,Self,Other,Feedback,strategy,agent_id,Memory,cumulative
26,0,0,1,Memory,2,0.2943845745043159,0.6538461538461539
27,0,0,1,Memory,2,0.2355076596034527,0.6666666666666666
28,0,0,1,Memory,2,0.18840612768276216,0.6785714285714286
29,0,0,1,Memory,2,0.15072490214620973,0.6896551724137931
30,0,0,1,Memory,2,0.12057992171696778,0.7
31,0,1,0,Memory,2,0.09646393737357423,0.6774193548387096
32,0,1,0,Memory,2,0.2771711498988594,0.65625
33,1,1,1,Memory,2,0.4217369199190875,0.6666666666666666
34,1,1,1,Memory,2,0.5373895359352701,0.6764705882352942
35,1,1,1,Memory,2,0.629911628748216,0.6857142857142857
36,1,1,1,Memory,2,0.7039293029985728,0.6944444444444444
37,1,1,1,Memory,2,0.7631434423988582,0.7027027027027027
38,1,1,1,Memory,2,0.8105147539190866,0.7105263157894737
39,1,1,1,Memory,2,0.8484118031352692,0.717948717948718
40,1,1,1,Memory,2,0.8787294425082154,0.725
41,1,0,0,Memory,2,0.9029835540065723,0.7073170731707317
42,1,0,0,Memory,2,0.7223868432052578,0.6904761904761905
43,1,0,0,Memory,2,0.5779094745642063,0.6744186046511628
44,0,0,1,Memory,2,0.462327579651365,0.6818181818181818
45,0,0,1,Memory,2,0.369862063721092,0.6888888888888889
46,0,0,1,Memory,2,0.2958896509768736,0.6956521739130435
47,0,0,1,Memory,2,0.23671172078149888,0.7021276595744681
48,0,0,1,Memory,2,0.1893693766251991,0.7083333333333334
49,0,0,1,Memory,2,0.15149550130015926,0.7142857142857143
50,0,0,1,Memory,2,0.12119640104012741,0.72
51,0,1,0,Memory,2,0.09695712083210192,0.7058823529411765
52,0,1,0,Memory,2,0.27756569666568154,0.6923076923076923
53,0,1,0,Memory,2,0.4220525573325452,0.6792452830188679
54,0,1,0,Memory,2,0.5376420458660361,0.6666666666666666
55,1,1,1,Memory,2,0.6301136366928289,0.6727272727272727
56,1,1,1,Memory,2,0.7040909093542631,0.6785714285714286
57,1,1,1,Memory,2,0.7632727274834105,0.6842105263157895
58,1,1,1,Memory,2,0.8106181819867284,0.6896551724137931
59,1,1,1,Memory,2,0.8484945455893828,0.6949152542372882
60,1,1,1,Memory,2,0.8787956364715062,0.7
61,1,0,0,Memory,2,0.9030365091772049,0.6885245901639344
62,1,0,0,Memory,2,0.722429207341764,0.6774193548387096
63,0,0,1,Memory,2,0.5779433658734112,0.6825396825396826
64,1,0,0,Memory,2,0.462354692698729,0.671875
65,0,0,1,Memory,2,0.36988375415898317,0.676923076923077
66,0,0,1,Memory,2,0.29590700332718656,0.6818181818181818
67,0,0,1,Memory,2,0.23672560266174925,0.6865671641791045
68,0,0,1,Memory,2,0.1893804821293994,0.6911764705882353
69,0,0,1,Memory,2,0.1515043857035195,0.6956521739130435
70,0,0,1,Memory,2,0.12120350856281562,0.7
71,0,1,0,Memory,2,0.09696280685025249,0.6901408450704225
72,1,1,1,Memory,2,0.27757024548020204,0.6944444444444444
