T,param,subj,mean,q025,q975,true
120,p_loss,18,0.27138597099779,0.10222966550000001,0.4134773272499999,0.20290838122801078
120,p_loss,19,0.1331106591678,0.0094503456575,0.26721300324999997,0.24386162185191446
120,p_loss,20,0.127187364925974,0.014010459400000001,0.25055667025,0.09575778622895804
120,p_loss,21,0.288419391694,0.1425241565,0.43563574125,0.26538914601780866
120,p_loss,22,0.294972123504,0.13538584275,0.44390052825,0.2526990075746632
120,p_loss,23,0.07303377206139999,0.00635134395,0.17512586549999995,0.06240435291101963
120,p_loss,24,0.07034271030411,0.0044549427300000005,0.16780662599999996,0.06496485236738213
120,p_loss,25,0.3023194414921,0.053630884074999996,0.48692522974999997,0.34934585240153826
120,p_loss,26,0.45909409596,0.2950835565,0.6112638842499999,0.3861224562685112
120,p_loss,27,0.10058400663733,0.0068883195525,0.23005211824999994,0.11553318276874537
120,p_loss,28,0.1045380053523,0.008797500750000001,0.22802665975,0.02939445574727652
120,p_loss,29,0.201548822416,0.017243316074999997,0.36035790300000003,0.21433331350817425
120,p_loss,30,0.110149917806669,0.006192831595,0.22571998975,0.06000930683150676
120,p_loss,31,0.1407135684898,0.015125367125000002,0.27296826225,0.16902417889207907
120,p_loss,32,0.11717046043685,0.0085405390025,0.246886647,0.19245612321872563
120,p_loss,33,0.13807165918327,0.0080889829075,0.26921693750000003,0.18358016277329844
120,p_loss,34,0.58056802057,0.431756044,0.72950660275,0.42373847286861777
120,p_loss,35,0.05907853739748,0.00480082299,0.14259708349999997,0.08842650378146051
120,p_loss,36,0.06881461373871,0.0049827989575,0.1565406995,0.18111910917800725
120,p_loss,37,0.0717632971143,0.00704945428,0.17276880275,0.11788634773959646
120,p_loss,38,0.2357290463754,0.0555197063,0.3765799664999999,0.19121666754275363
120,p_loss,39,0.07562901016069,0.006701408465,0.16928252275,0.07199571342957223
120,p_loss,40,0.086050457815701,0.00713855724,0.19570979775,0.03511465614304095
120,p_win,1,0.89205398953,0.789384384,0.9763399625,0.9072922246477427
120,p_win,2,0.8142249515,0.6672426495,0.9631783965,0.9358153527050705
120,p_win,3,0.82568213656,0.6918574925,0.9601294434999998,0.8709977783401918
120,p_win,4,0.77639206734,0.63310403,0.95829191425,0.7151775638956808
120,p_win,5,0.8097726812,0.6733872559999999,0.9556463262499999,0.7817338790769144
120,p_win,6,0.82353218434,0.69583046125,0.9588686667499999,0.8304262901591495
120,p_win,7,0.58214052622,0.437422675,0.74488809725,0.604113019518742
120,p_win,8,0.80920193683,0.66322571425,0.96458381125,0.65825766786678
120,p_win,9,0.79293266868,0.6461206464999999,0.9530982807499999,0.8384053764633453
120,p_win,10,0.78312487907,0.6303186667499999,0.9517134737499999,0.760163709659596
120,p_win,11,0.73248169652,0.572733911,0.936112247,0.5796786438053834
120,p_win,12,0.89064980273,0.7887749315,0.9766511005,0.9259189772953264
120,p_win,13,0.85945784702,0.745972753,0.9759484067499999,0.884154344863398
120,p_win,14,0.82961715973,0.704449847,0.9573761812499999,0.8896706225168017
120,p_win,15,0.80566670359,0.66221382825,0.9676636184999999,0.7938945893907317
